iter	Passed	Remaining
0	59	59893
1	60	30092
2	60	20194
3	61	15235
4	61	12245
5	61	10244
6	62	8820
7	62	7760
8	62	6926
9	63	6256
10	63	5707
11	63	5249
12	64	4869
13	64	4540
14	64	4254
15	65	4001
16	65	3778
17	65	3580
18	65	3404
19	66	3244
20	66	3101
21	66	2971
22	67	2854
23	67	2747
24	67	2647
25	68	2553
26	68	2467
27	69	2400
28	69	2330
29	70	2263
30	70	2197
31	70	2143
32	71	2086
33	71	2030
34	71	1977
35	72	1928
36	72	1882
37	72	1840
38	73	1800
39	73	1761
40	73	1725
41	74	1689
42	74	1654
43	74	1622
44	74	1590
45	75	1560
46	75	1530
47	75	1503
48	76	1475
49	76	1448
50	76	1424
51	76	1401
52	77	1378
53	77	1355
54	77	1336
55	78	1316
56	78	1296
57	78	1277
58	79	1261
59	79	1244
60	79	1226
61	80	1210
62	80	1194
63	80	1178
64	80	1162
65	81	1147
66	81	1133
67	81	1119
68	81	1105
69	82	1091
70	82	1078
71	82	1065
72	82	1053
73	83	1043
74	84	1036
75	84	1025
76	84	1015
77	85	1005
78	85	995
79	85	985
80	85	975
81	86	965
82	86	954
83	86	945
84	86	936
85	87	927
86	87	918
87	87	909
88	88	901
89	88	893
90	88	886
91	89	878
92	89	870
93	89	863
94	89	855
95	90	848
96	90	841
97	90	834
98	90	827
99	91	822
100	91	816
101	91	809
102	92	803
103	92	797
104	92	790
105	93	789
106	93	783
107	94	777
108	94	771
109	94	766
110	94	760
111	95	755
112	95	749
113	95	744
114	96	739
115	96	733
116	96	728
117	96	724
118	97	719
119	97	714
120	97	710
121	97	704
122	98	700
123	98	695
124	98	691
125	99	687
126	99	684
127	100	681
128	100	680
129	101	677
130	101	672
131	101	668
132	101	664
133	102	660
134	102	656
135	102	652
136	103	649
137	103	645
138	103	642
139	104	639
140	104	635
141	104	631
142	104	627
143	104	624
144	105	620
145	105	617
146	105	613
147	106	610
148	106	608
149	106	605
150	107	602
151	107	599
152	107	596
153	107	593
154	108	590
155	108	587
156	108	584
157	109	581
158	109	578
159	109	575
160	109	571
161	110	569
162	110	566
163	110	563
164	110	561
165	111	558
166	111	555
167	111	552
168	111	550
169	112	547
170	112	545
171	112	543
172	113	540
173	113	538
174	113	535
175	113	533
176	114	530
177	114	530
178	115	528
179	115	526
180	115	524
181	116	522
182	116	520
183	116	518
184	117	516
185	117	513
186	117	511
187	117	509
188	118	507
189	118	505
190	118	502
191	118	500
192	119	499
193	119	497
194	119	494
195	120	492
196	120	491
197	120	489
198	121	487
199	121	485
200	121	483
201	121	481
202	122	479
203	122	477
204	122	475
205	122	473
206	123	471
207	123	470
208	123	468
209	123	466
210	124	464
211	124	462
212	124	461
213	125	459
214	125	457
215	125	455
216	125	453
217	126	452
218	126	450
219	126	448
220	126	447
221	127	445
222	127	444
223	127	442
224	127	440
225	128	439
226	128	437
227	129	438
228	129	436
229	129	435
230	130	433
231	130	432
232	130	431
233	131	429
234	131	428
235	131	426
236	131	424
237	132	423
238	132	421
239	132	420
240	133	418
241	133	417
242	133	416
243	133	414
244	134	413
245	134	411
246	134	410
247	134	409
248	135	407
249	135	406
250	135	405
251	136	403
252	136	402
253	136	401
254	136	399
255	137	398
256	137	397
257	137	396
258	138	395
259	138	394
260	138	392
261	139	391
262	139	390
263	139	388
264	139	387
265	139	386
266	140	385
267	140	384
268	140	383
269	141	381
270	141	380
271	141	379
272	142	378
273	142	377
274	142	376
275	143	375
276	143	374
277	143	372
278	143	371
279	144	370
280	144	369
281	144	368
282	145	367
283	145	367
284	146	366
285	146	365
286	146	364
287	147	363
288	147	363
289	147	362
290	148	360
291	148	359
292	148	358
293	148	357
294	149	356
295	149	355
296	149	354
297	150	353
298	150	352
299	150	351
300	150	350
301	151	349
302	151	348
303	151	347
304	152	346
305	152	345
306	152	344
307	152	343
308	153	342
309	153	341
310	153	340
311	153	339
312	154	338
313	154	337
314	154	336
315	154	335
316	155	334
317	155	333
318	155	332
319	156	331
320	156	330
321	156	329
322	156	328
323	157	328
324	157	327
325	157	326
326	158	325
327	158	324
328	158	323
329	158	322
330	159	321
331	159	320
332	159	319
333	159	318
334	160	317
335	160	318
336	161	317
337	161	316
338	162	316
339	162	315
340	162	314
341	163	313
342	163	313
343	163	312
344	164	311
345	164	310
346	164	309
347	164	308
348	165	307
349	165	306
350	165	306
351	165	305
352	166	304
353	166	303
354	166	302
355	166	302
356	167	301
357	167	300
358	167	299
359	168	298
360	168	298
361	168	297
362	168	296
363	169	295
364	169	294
365	169	293
366	169	292
367	170	292
368	170	291
369	170	290
370	170	289
371	171	289
372	171	288
373	171	287
374	172	286
375	172	286
376	172	285
377	173	284
378	173	284
379	173	283
380	174	282
381	174	282
382	174	281
383	174	280
384	175	279
385	175	279
386	176	279
387	176	278
388	177	278
389	177	277
390	177	276
391	178	276
392	178	275
393	178	274
394	179	274
395	179	273
396	179	272
397	179	272
398	180	271
399	180	270
400	180	269
401	180	268
402	181	268
403	181	267
404	181	266
405	181	265
406	181	265
407	182	264
408	182	263
409	182	262
410	182	262
411	183	261
412	183	260
413	183	259
414	183	259
415	184	258
416	184	257
417	184	257
418	185	256
419	185	255
420	185	255
421	185	254
422	186	253
423	186	253
424	186	252
425	186	251
426	187	251
427	187	250
428	187	249
429	188	249
430	188	248
431	188	248
432	189	247
433	189	246
434	189	246
435	189	245
436	190	244
437	190	244
438	190	243
439	190	242
440	191	242
441	192	242
442	192	241
443	192	241
444	193	240
445	193	240
446	193	239
447	193	238
448	194	238
449	194	237
450	194	237
451	195	236
452	195	235
453	195	235
454	195	234
455	196	234
456	196	233
457	196	232
458	197	232
459	197	231
460	197	230
461	197	230
462	198	229
463	198	229
464	198	228
465	198	227
466	199	227
467	199	226
468	199	225
469	199	225
470	200	224
471	200	224
472	200	223
473	200	222
474	201	222
475	201	221
476	201	221
477	201	220
478	202	220
479	202	219
480	202	218
481	203	218
482	203	217
483	203	217
484	203	216
485	204	215
486	204	215
487	204	214
488	205	214
489	205	213
490	205	213
491	205	212
492	206	212
493	207	212
494	207	211
495	207	210
496	207	210
497	208	209
498	208	209
499	208	208
500	209	208
501	209	207
502	209	207
503	210	206
504	210	206
505	210	205
506	210	205
507	211	204
508	211	203
509	211	203
510	212	202
511	212	202
512	212	201
513	212	201
514	213	200
515	213	200
516	213	199
517	214	199
518	214	198
519	214	198
520	214	197
521	215	196
522	215	196
523	215	195
524	216	195
525	216	194
526	216	194
527	216	193
528	217	193
529	217	192
530	217	192
531	217	191
532	218	191
533	218	190
534	218	189
535	218	189
536	219	188
537	219	188
538	219	187
539	219	187
540	220	186
541	220	186
542	220	185
543	221	185
544	221	185
545	221	184
546	222	184
547	222	183
548	222	183
549	223	182
550	223	182
551	223	181
552	223	180
553	224	180
554	224	179
555	224	179
556	224	178
557	225	178
558	225	177
559	225	177
560	226	176
561	226	176
562	226	175
563	226	175
564	227	174
565	227	174
566	227	173
567	227	173
568	228	172
569	228	172
570	229	172
571	229	171
572	229	171
573	229	170
574	230	170
575	230	169
576	230	169
577	230	168
578	231	168
579	231	167
580	231	167
581	232	166
582	232	166
583	232	165
584	232	165
585	233	164
586	233	164
587	233	163
588	234	163
589	234	162
590	234	162
591	234	161
592	235	161
593	235	160
594	235	160
595	236	159
596	236	159
597	236	158
598	236	158
599	237	158
600	237	157
601	238	157
602	238	156
603	238	156
604	238	155
605	239	155
606	239	154
607	239	154
608	239	154
609	240	153
610	240	153
611	240	152
612	241	152
613	241	151
614	241	151
615	241	150
616	242	150
617	242	149
618	242	149
619	242	148
620	243	148
621	243	148
622	243	147
623	244	147
624	244	146
625	244	146
626	244	145
627	245	145
628	245	144
629	245	144
630	245	143
631	246	143
632	246	142
633	246	142
634	246	141
635	247	141
636	247	140
637	247	140
638	247	140
639	248	139
640	248	139
641	248	138
642	249	138
643	249	137
644	249	137
645	249	136
646	250	136
647	250	136
648	250	135
649	250	135
650	251	134
651	251	134
652	251	133
653	252	133
654	252	132
655	252	132
656	253	132
657	253	131
658	253	131
659	254	130
660	254	130
661	254	129
662	254	129
663	255	129
664	255	128
665	255	128
666	255	127
667	256	127
668	256	126
669	256	126
670	257	126
671	257	125
672	257	125
673	257	124
674	258	124
675	258	123
676	258	123
677	259	123
678	259	122
679	259	122
680	259	121
681	260	121
682	260	120
683	260	120
684	261	120
685	261	119
686	261	119
687	261	118
688	262	118
689	262	117
690	262	117
691	263	117
692	263	116
693	263	116
694	263	115
695	264	115
696	264	114
697	264	114
698	264	114
699	265	113
700	265	113
701	265	112
702	266	112
703	266	111
704	266	111
705	266	111
706	267	110
707	267	110
708	267	109
709	268	109
710	268	109
711	269	108
712	269	108
713	269	108
714	270	107
715	270	107
716	270	106
717	270	106
718	271	105
719	271	105
720	271	105
721	272	104
722	272	104
723	272	103
724	272	103
725	273	103
726	273	102
727	273	102
728	274	101
729	274	101
730	274	101
731	274	100
732	275	100
733	275	99
734	275	99
735	276	99
736	276	98
737	276	98
738	276	97
739	277	97
740	277	96
741	277	96
742	277	96
743	278	95
744	278	95
745	278	94
746	278	94
747	279	94
748	279	93
749	279	93
750	280	92
751	280	92
752	280	92
753	280	91
754	281	91
755	281	90
756	281	90
